"","dates","machineID","volt","rotate","pressure","vibration","dates.errors","type1s","type2s","type3s","type4s","type5s","dates.failures","comp1s","comp2s","comp3s","comp4s"
"1","2015-07-01 01:00:00","1","182.7771","562.8574","96.1786","44.38683","2015-07-01 01:00:00","0","0","0","1","0","2015-07-01 01:00:00","0","0","0","0"
"2","2015-07-01 02:00:00","1","150.9656","444.3274","108.26887","43.90219","2015-07-01 02:00:00","0","0","0","0","0","2015-07-01 02:00:00","0","0","0","0"
"3","2015-07-01 03:00:00","1","167.7672","365.6573","99.65466","43.92696","2015-07-01 03:00:00","0","0","1","0","0","2015-07-01 03:00:00","0","0","0","0"
"4","2015-07-01 04:00:00","1","170.3516","420.0234","92.50917","42.25616","2015-07-01 04:00:00","0","0","0","0","0","2015-07-01 04:00:00","0","0","0","0"
"5","2015-07-01 05:00:00","1","182.9095","439.9006","110.86579","39.16417","2015-07-01 05:00:00","0","0","0","0","0","2015-07-01 05:00:00","0","0","0","0"
"6","2015-07-01 06:00:00","1","158.0109","547.0675","128.855","37.16999","2015-07-01 06:00:00","4","4","4","2","2","2015-07-01 06:00:00","7","5","4","4"
"7","2015-07-01 07:00:00","1","127.452","345.8125","88.77579","38.80704","2015-07-01 07:00:00","0","0","0","0","0","2015-07-01 07:00:00","0","0","0","0"
"8","2015-07-01 08:00:00","1","186.0837","396.0749","107.35761","41.0828","2015-07-01 08:00:00","0","0","1","0","1","2015-07-01 08:00:00","0","0","0","0"
"9","2015-07-01 09:00:00","1","184.6121","422.2481","114.86246","41.56204","2015-07-01 09:00:00","0","0","0","0","0","2015-07-01 09:00:00","0","0","0","0"
"10","2015-07-01 10:00:00","1","185.8078","373.876","103.94684","44.77432","2015-07-01 10:00:00","1","0","0","0","0","2015-07-01 10:00:00","0","0","0","0"
"11","2015-07-01 11:00:00","1","166.8589","428.5146","108.41867","45.1623","2015-07-01 11:00:00","0","0","0","0","0","2015-07-01 11:00:00","0","0","0","0"
"12","2015-07-01 12:00:00","1","131.9912","398.4794","96.76239","37.28945","2015-07-01 12:00:00","0","0","0","0","1","2015-07-01 12:00:00","0","0","0","0"
"13","2015-07-01 13:00:00","1","174.8657","394.9443","103.56697","49.43011","2015-07-01 13:00:00","0","0","0","0","0","2015-07-01 13:00:00","0","0","0","0"
"14","2015-07-01 14:00:00","1","192.9385","370.3318","93.74391","39.1672","2015-07-01 14:00:00","0","0","0","0","0","2015-07-01 14:00:00","0","0","0","0"
